P,S,T,S^2,PxS,Px(S^2),(P^2) xS,(P^2) x (S^2),Temp
24,1887,170,3560769,45288,85458456,1086912,2051002944,49
25,1909,180,3644281,47725,91107025,1193125,2277675625,50
26,1958,190,3833764,50908,99677864,1323608,2591624464,51
26,1912,200,3655744,49712,95049344,1292512,2471282944,51
25,1894,210,3587236,47350,89680900,1183750,2242022500,50
24,1848,220,3415104,44352,81962496,1064448,1967099904,49
24,1834,230,3363556,44016,80725344,1056384,1937408256,49
23,1823,240,3323329,41929,76436567,964367,1758041041,48
22,1795,250,3222025,39490,70884550,868780,1559460100,47
21,1747,260,3052009,36687,64092189,770427,1345935969,46
20,1737,270,3017169,34740,60343380,694800,1206867600,45
20,1724,280,2972176,34480,59443520,689600,1188870400,45
20,1705,290,2907025,34100,58140500,682000,1162810000,45
20,1691,300,2859481,33820,57189620,676400,1143792400,45
20,1661,310,2758921,33220,55178420,664400,1103568400,45
20,1614,320,2604996,32280,52099920,645600,1041998400,45
19,1581,330,2499561,30039,47491659,570741,902341521,44
19,1570,340,2464900,29830,46833100,566770,889828900,44
19,1568,350,2458624,29792,46713856,566048,887563264,44
18,1523,360,2319529,27414,41751522,493452,751527396,43
17,1508,370,2274064,25636,38659088,435812,657204496,42
16,1485,380,2205225,23760,35283600,380160,564537600,41
16,1462,390,2137444,23392,34199104,374272,547185664,41
16,1455,400,2117025,23280,33872400,372480,541958400,41
15,1408,410,1982464,21120,29736960,316800,446054400,40
14,1388,420,1926544,19432,26971616,272048,377602624,39
15,1416,430,2005056,21240,30075840,318600,451137600,40
15,1422,440,2022084,21330,30331260,319950,454968900,40
15,1446,450,2090916,21690,31363740,325350,470456100,40
16,1460,460,2131600,23360,34105600,373760,545689600,41
16,1498,470,2244004,23968,35904064,383488,574465024,41
17,1538,480,2365444,26146,40212548,444482,683613316,42
18,1538,490,2365444,27684,42577992,498312,766403856,43
18,1579,500,2493241,28422,44878338,511596,807810084,43
19,1617,510,2614689,30723,49679091,583737,943902729,44
19,1637,520,2679769,31103,50915611,590957,967396609,44
20,1647,530,2712609,32940,54252180,658800,1085043600,45
20,1674,540,2802276,33480,56045520,669600,1120910400,45
21,1676,550,2808976,35196,58988496,739116,1238758416,46
21,1704,560,2903616,35784,60975936,751464,1280494656,46
21,1728,570,2985984,36288,62705664,762048,1316818944,46
22,1756,580,3083536,38632,67837792,849904,1492431424,47
22,1780,590,3168400,39160,69704800,861520,1533505600,47
23,1819,600,3308761,41837,76101503,962251,1750334569,48
23,1830,610,3348900,42090,77024700,968070,1771568100,48
23,1856,620,3444736,42688,79228928,981824,1822265344,48
24,1904,630,3625216,45696,87005184,1096704,2088124416,49
25,1930,640,3724900,48250,93122500,1206250,2328062500,50
26,1948,650,3794704,50648,98662304,1316848,2565219904,51
26,1917,660,3674889,49842,95547114,1295892,2484224964,51
25,1884,670,3549456,47100,88736400,1177500,2218410000,50
24,1848,680,3415104,44352,81962496,1064448,1967099904,49
24,1807,690,3265249,43368,78365976,1040832,1880783424,49
24,1797,700,3229209,43128,77501016,1035072,1860024384,49
24,1793,710,3214849,43032,77156376,1032768,1851753024,49
24,1768,720,3125824,42432,75019776,1018368,1800474624,49
23,1741,730,3031081,40043,69714863,920989,1603441849,48
23,1729,740,2989441,39767,68757143,914641,1581414289,48
23,1718,750,2951524,39514,67885052,908822,1561356196,48
23,1680,760,2822400,38640,64915200,888720,1493049600,48
22,1667,770,2778889,36674,61135558,806828,1344982276,47
21,1635,780,2673225,34335,56137725,721035,1178892225,46
20,1619,790,2621161,32380,52423220,647600,1048464400,45
20,1598,800,2553604,31960,51072080,639200,1021441600,45
20,1589,810,2524921,31780,50498420,635600,1009968400,45
20,1541,820,2374681,30820,47493620,616400,949872400,45
19,1523,830,2319529,28937,44071051,549803,837349969,44
19,1474,840,2172676,28006,41280844,532114,784336036,44
18,1457,850,2122849,26226,38211282,472068,687803076,43
18,1429,860,2042041,25722,36756738,462996,661621284,43
18,1415,870,2002225,25470,36040050,458460,648720900,43
18,1393,880,1940449,25074,34928082,451332,628705476,43
17,1369,890,1874161,23273,31860737,395641,541632529,42
17,1330,900,1768900,22610,30071300,384370,511212100,42
17,1296,910,1679616,22032,28553472,374544,485409024,42
16,1269,920,1610361,20304,25765776,324864,412252416,41
16,1234,930,1522756,19744,24364096,315904,389825536,41
16,1212,940,1468944,19392,23503104,310272,376049664,41
16,1172,950,1373584,18752,21977344,300032,351637504,41
16,1128,960,1272384,18048,20358144,288768,325730304,41
16,1099,970,1207801,17584,19324816,281344,309197056,41
16,1085,980,1177225,17360,18835600,277760,301369600,41
16,1056,990,1115136,16896,17842176,270336,285474816,41
16,1053,1000,1108809,16848,17740944,269568,283855104,41
15,1022,1010,1044484,15330,15667260,229950,235008900,40
14,989,1020,978121,13846,13693694,193844,191711716,39
14,1030,1030,1060900,14420,14852600,201880,207936400,39
14,1035,1040,1071225,14490,14997150,202860,209960100,39
15,1069,1050,1142761,16035,17141415,240525,257121225,40
15,1107,1060,1225449,16605,18381735,249075,275726025,40
15,1144,1070,1308736,17160,19631040,257400,294465600,40
16,1180,1080,1392400,18880,22278400,302080,356454400,41
17,1221,1090,1490841,20757,25344297,352869,430853049,42
18,1240,1100,1537600,22320,27676800,401760,498182400,43
18,1247,1110,1555009,22446,27990162,404028,503822916,43
18,1251,1120,1565001,22518,28170018,405324,507060324,43
19,1273,1130,1620529,24187,30790051,459553,585010969,44
19,1313,1140,1723969,24947,32755411,473993,622352809,44
19,1319,1150,1739761,25061,33055459,476159,628053721,44
20,1362,1160,1855044,27240,37100880,544800,742017600,45
21,1383,1170,1912689,29043,40166469,609903,843495849,46
21,1390,1180,1932100,29190,40574100,612990,852056100,46
21,1431,1190,2047761,30051,43002981,631071,903062601,46
22,1470,1200,2160900,32340,47539800,711480,1045875600,47
23,1473,1210,2169729,33879,49903767,779217,1147786641,48
23,1506,1220,2268036,34638,52164828,796674,1199791044,48
23,1540,1230,2371600,35420,54546800,814660,1254576400,48
23,1542,1240,2377764,35466,54688572,815718,1257837156,48
24,1542,1250,2377764,37008,57066336,888192,1369592064,49
25,1580,1260,2496400,39500,62410000,987500,1560250000,50
26,1581,1270,2499561,41106,64988586,1068756,1689703236,51
26,1566,1280,2452356,40716,63761256,1058616,1657792656,51
26,1539,1290,2368521,40014,61581546,1040364,1601120196,51
25,1532,1300,2347024,38300,58675600,957500,1466890000,50
25,1490,1310,2220100,37250,55502500,931250,1387562500,50
24,1459,1320,2128681,35016,51088344,840384,1226120256,49
24,1435,1330,2059225,34440,49421400,826560,1186113600,49
24,1405,1340,1974025,33720,47376600,809280,1137038400,49
23,1397,1350,1951609,32131,44887007,739013,1032401161,48
23,1381,1360,1907161,31763,43864703,730549,1008888169,48
23,1357,1370,1841449,31211,42353327,717853,974126521,48
23,1355,1380,1836025,31165,42228575,716795,971257225,48
23,1327,1390,1760929,30521,40501367,701983,931531441,48
22,1321,1400,1745041,29062,38390902,639364,844599844,47
21,1273,1410,1620529,26733,34031109,561393,714653289,46
20,1227,1420,1505529,24540,30110580,490800,602211600,45
20,1197,1430,1432809,23940,28656180,478800,573123600,45
20,1184,1440,1401856,23680,28037120,473600,560742400,45
19,1141,1450,1301881,21679,24735739,411901,469979041,44
18,1136,1460,1290496,20448,23228928,368064,418120704,43
18,1095,1470,1199025,19710,21582450,354780,388484100,43
17,1049,1480,1100401,17833,18706817,303161,318015889,42
17,1019,1490,1038361,17323,17652137,294491,300086329,42
16,1006,1500,1012036,16096,16192576,257536,259081216,41
15,967,1510,935089,14505,14026335,217575,210395025,40
14,943,1520,889249,13202,12449486,184828,174292804,39
15,990,1530,980100,14850,14701500,222750,220522500,40
15,1020,1540,1040400,15300,15606000,229500,234090000,40
16,1068,1550,1140624,17088,18249984,273408,291999744,41
17,1116,1560,1245456,18972,21172752,322524,359936784,42
17,1117,1570,1247689,18989,21210713,322813,360582121,42
18,1156,1580,1336336,20808,24054048,374544,432972864,43
18,1203,1590,1447209,21654,26049762,389772,468895716,43
18,1218,1600,1483524,21924,26703432,394632,480661776,43
18,1246,1610,1552516,22428,27945288,403704,503015184,43
18,1256,1620,1577536,22608,28395648,406944,511121664,43
19,1268,1630,1607824,24092,30548656,457748,580424464,44
20,1313,1640,1723969,26260,34479380,525200,689587600,45
20,1340,1650,1795600,26800,35912000,536000,718240000,45
21,1348,1660,1817104,28308,38159184,594468,801342864,46
21,1383,1670,1912689,29043,40166469,609903,843495849,46
22,1405,1680,1974025,30910,43428550,680020,955428100,47
22,1419,1690,2013561,31218,44298342,686796,974563524,47
23,1447,1700,2093809,33281,48157607,765463,1107624961,48
24,1482,1710,2196324,35568,52711776,853632,1265082624,49
24,1488,1720,2214144,35712,53139456,857088,1275346944,49
25,1509,1730,2277081,37725,56927025,943125,1423175625,50
25,1558,1740,2427364,38950,60684100,973750,1517102500,50
25,1562,1750,2439844,39050,60996100,976250,1524902500,50
25,1585,1760,2512225,39625,62805625,990625,1570140625,50
26,1622,1770,2630884,42172,68402984,1096472,1778477584,51
26,1619,1780,2621161,42094,68150186,1094444,1771904836,51
25,1600,1790,2560000,40000,64000000,1000000,1600000000,50
25,1575,1800,2480625,39375,62015625,984375,1550390625,50
24,1574,1810,2477476,37776,59459424,906624,1427026176,49
24,1550,1820,2402500,37200,57660000,892800,1383840000,49
23,1550,1830,2402500,35650,55257500,819950,1270922500,48
23,1539,1840,2368521,35397,54475983,814131,1252947609,48
23,1519,1850,2307361,34937,53069303,803551,1220593969,48
23,1508,1860,2274064,34684,52303472,797732,1202979856,48
22,1488,1870,2214144,32736,48711168,720192,1071645696,47
22,1446,1880,2090916,31812,46000152,699864,1012003344,47
22,1430,1890,2044900,31460,44987800,692120,989731600,47
22,1382,1900,1909924,30404,42018328,668888,924403216,47
22,1334,1910,1779556,29348,39150232,645656,861305104,47
22,1311,1920,1718721,28842,37811862,634524,831860964,47
21,1263,1930,1595169,26523,33498549,556983,703469529,46
21,1254,1940,1572516,26334,33022836,553014,693479556,46
21,1253,1950,1570009,26313,32970189,552573,692373969,46
20,1226,1960,1503076,24520,30061520,490400,601230400,45
19,1214,1970,1473796,23066,28002124,438254,532040356,44
18,1188,1980,1411344,21384,25404192,384912,457275456,43
17,1150,1990,1322500,19550,22482500,332350,382202500,42
16,1117,2000,1247689,17872,19963024,285952,319408384,41
15,1068,2010,1140624,16020,17109360,240300,256640400,40
14,1027,2020,1054729,14378,14766206,201292,206726884,39
14,1061,2030,1125721,14854,15760094,207956,220641316,39
15,1092,2040,1192464,16380,17886960,245700,268304400,40
16,1097,2050,1203409,17552,19254544,280832,308072704,41
17,1123,2060,1261129,19091,21439193,324547,364466281,42
18,1171,2070,1371241,21078,24682338,379404,444282084,43
19,1194,2080,1425636,22686,27087084,431034,514654596,44
20,1226,2090,1503076,24520,30061520,490400,601230400,45
21,1228,2100,1507984,25788,31667664,541548,665020944,46
21,1246,2110,1552516,26166,32602836,549486,684659556,46
21,1248,2120,1557504,26208,32707584,550368,686859264,46
22,1288,2130,1658944,28336,36496768,623392,802928896,47
23,1290,2140,1664100,29670,38274300,682410,880308900,48
24,1310,2150,1716100,31440,41186400,754560,988473600,49
24,1356,2160,1838736,32544,44129664,781056,1059111936,49
24,1398,2170,1954404,33552,46905696,805248,1125736704,49
25,1414,2180,1999396,35350,49984900,883750,1249622500,50
25,1462,2190,2137444,36550,53436100,913750,1335902500,50
25,1504,2200,2262016,37600,56550400,940000,1413760000,50
26,1544,2210,2383936,40144,61982336,1043744,1611540736,51
25,1501,2220,2253001,37525,56325025,938125,1408125625,50
24,1498,2230,2244004,35952,53856096,862848,1292546304,49
24,1449,2240,2099601,34776,50390424,834624,1209370176,49
24,1442,2250,2079364,34608,49904736,830592,1197713664,49
24,1408,2260,1982464,33792,47579136,811008,1141899264,49
23,1373,2270,1885129,31579,43357967,726317,997233241,48
22,1356,2280,1838736,29832,40452192,656304,889948224,47
21,1353,2290,1830609,28413,38442789,596673,807298569,46
21,1313,2300,1723969,27573,36203349,579033,760270329,46
21,1308,2310,1710864,27468,35928144,576828,754491024,46
21,1271,2320,1615441,26691,33924261,560511,712409481,46
20,1237,2330,1530169,24740,30603380,494800,612067600,45
19,1204,2340,1449616,22876,27542704,434644,523311376,44
19,1178,2350,1387684,22382,26365996,425258,500953924,44
18,1177,2360,1385329,21186,24935922,381348,448846596,43
18,1141,2370,1301881,20538,23433858,369684,421809444,43
18,1109,2380,1229881,19962,22137858,359316,398481444,43
18,1057,2400,1117249,19026,20110482,342468,361988676,43
16,1542,10,2377764,24672,38044224,394752,608707584,41
16,1576,20,2483776,25216,39740416,403456,635846656,41
16,1582,30,2502724,25312,40043584,404992,640697344,41
17,1631,40,2660161,27727,45222737,471359,768786529,42
18,1639,50,2686321,29502,48353778,531036,870368004,43
18,1674,60,2802276,30132,50440968,542376,907937424,43
18,1706,70,2910436,30708,52387848,552744,942981264,43
18,1710,80,2924100,30780,52633800,554040,947408400,43
18,1726,90,2979076,31068,53623368,559224,965220624,43
18,1744,100,3041536,31392,54747648,565056,985457664,43
18,1744,110,3041536,31392,54747648,565056,985457664,43
19,1762,120,3104644,33478,58988236,636082,1120776484,44
19,1809,130,3272481,34371,62177139,653049,1181365641,44
19,1826,140,3334276,34694,63351244,659186,1203673636,44
20,1862,150,3467044,37240,69340880,744800,1386817600,45
20,1890,160,3572100,37800,71442000,756000,1428840000,45
20,1929,170,3721041,38580,74420820,771600,1488416400,45
20,1944,180,3779136,38880,75582720,777600,1511654400,45
20,1985,190,3940225,39700,78804500,794000,1576090000,45
20,1990,200,3960100,39800,79202000,796000,1584040000,45
21,2037,210,4149369,42777,87136749,898317,1829871729,46
21,2077,220,4313929,43617,90592509,915957,1902442689,46
22,2110,230,4452100,46420,97946200,1021240,2154816400,47
22,2125,240,4515625,46750,99343750,1028500,2185562500,47
22,2142,250,4588164,47124,100939608,1036728,2220671376,47
23,2156,260,4648336,49588,106911728,1140524,2458969744,48
24,2169,270,4704561,52056,112909464,1249344,2709827136,49
25,2185,280,4774225,54625,119355625,1365625,2983890625,50
25,2226,290,4955076,55650,123876900,1391250,3096922500,50
26,2240,300,5017600,58240,130457600,1514240,3391897600,51
25,2215,310,4906225,55375,122655625,1384375,3066390625,50
24,2178,320,4743684,52272,113848416,1254528,2732361984,49
23,2154,330,4639716,49542,106713468,1139466,2454409764,48
23,2138,340,4571044,49174,105134012,1131002,2418082276,48
22,2104,350,4426816,46288,97389952,1018336,2142578944,47
21,2071,360,4289041,43491,90069861,913311,1891467081,46
21,2048,370,4194304,43008,88080384,903168,1849688064,46
21,2010,380,4040100,42210,84842100,886410,1781684100,46
21,1997,390,3988009,41937,83748189,880677,1758711969,46
20,1953,400,3814209,39060,76284180,781200,1525683600,45
19,1927,410,3713329,36613,70553251,695647,1340511769,44
19,1879,420,3530641,35701,67082179,678319,1274561401,44
19,1856,430,3444736,35264,65449984,670016,1243549696,44
19,1815,440,3294225,34485,62590275,655215,1189215225,44
19,1790,450,3204100,34010,60877900,646190,1156680100,44
18,1758,460,3090564,31644,55630152,569592,1001342736,43
18,1717,470,2948089,30906,53065602,556308,955180836,43
18,1684,480,2835856,30312,51045408,545616,918817344,43
17,1641,490,2692881,27897,45778977,474249,778242609,42
17,1625,500,2640625,27625,44890625,469625,763140625,42
16,1623,510,2634129,25968,42146064,415488,674337024,41
15,1605,520,2576025,24075,38640375,361125,579605625,40
14,1571,530,2468041,21994,34552574,307916,483736036,39
15,1603,540,2569609,24045,38544135,360675,578162025,40
16,1652,550,2729104,26432,43665664,422912,698650624,41
16,1695,560,2873025,27120,45968400,433920,735494400,41
16,1699,570,2886601,27184,46185616,434944,738969856,41
16,1705,580,2907025,27280,46512400,436480,744198400,41
17,1707,590,2913849,29019,49535433,493323,842102361,42
18,1721,600,2961841,30978,53313138,557604,959636484,43
19,1738,610,3020644,33022,57392236,627418,1090452484,44
19,1777,620,3157729,33763,59996851,641497,1139940169,44
20,1824,630,3326976,36480,66539520,729600,1330790400,45
21,1848,640,3415104,38808,71717184,814968,1506060864,46
21,1880,650,3534400,39480,74222400,829080,1558670400,46
21,1889,660,3568321,39669,74934741,833049,1573629561,46
21,1930,670,3724900,40530,78222900,851130,1642680900,46
21,1955,680,3822025,41055,80262525,862155,1685513025,46
22,1967,690,3869089,43274,85119958,952028,1872639076,47
22,2009,700,4036081,44198,88793782,972356,1953463204,47
22,2037,710,4149369,44814,91286118,985908,2008294596,47
23,2084,720,4343056,47932,99890288,1102436,2297476624,48
24,2105,730,4431025,50520,106344600,1212480,2552270400,49
25,2125,740,4515625,53125,112890625,1328125,2822265625,50
26,2138,750,4571044,55588,118847144,1445288,3090025744,51
25,2093,760,4380649,52325,109516225,1308125,2737905625,50
24,2068,770,4276624,49632,102638976,1191168,2463335424,49
23,2050,780,4202500,47150,96657500,1084450,2223122500,48
22,2003,790,4012009,44066,88264198,969452,1941812356,47
21,1963,800,3853369,41223,80920749,865683,1699335729,46
21,1962,810,3849444,41202,80838324,865242,1697604804,46
20,1954,820,3818116,39080,76362320,781600,1527246400,45
20,1935,830,3744225,38700,74884500,774000,1497690000,45
19,1925,840,3705625,36575,70406875,694925,1337730625,44
18,1918,850,3678724,34524,66217032,621432,1191906576,43
17,1879,860,3530641,31943,60020897,543031,1020355249,42
16,1848,870,3415104,29568,54641664,473088,874266624,41
15,1826,880,3334276,27390,50014140,410850,750212100,40
14,1803,890,3250809,25242,45511326,353388,637158564,39
15,1814,900,3290596,27210,49358940,408150,740384100,40
15,1859,910,3455881,27885,51838215,418275,777573225,40
16,1898,920,3602404,30368,57638464,485888,922215424,41
17,1942,930,3771364,33014,64113188,561238,1089924196,42
17,1958,940,3833764,33286,65173988,565862,1107957796,42
17,2007,950,4028049,34119,68476833,580023,1164106161,42
17,2022,960,4088484,34374,69504228,584358,1181571876,42
17,2024,970,4096576,34408,69641792,584936,1183910464,42
18,2041,980,4165681,36738,74982258,661284,1349680644,43
18,2074,990,4301476,37332,77426568,671976,1393678224,43
19,2090,1000,4368100,39710,82993900,754490,1576884100,44
19,2093,1010,4380649,39767,83232331,755573,1581414289,44
19,2097,1020,4397409,39843,83550771,757017,1587464649,44
20,2130,1030,4536900,42600,90738000,852000,1814760000,45
20,2153,1040,4635409,43060,92708180,861200,1854163600,45
21,2158,1050,4656964,45318,97796244,951678,2053721124,46
22,2173,1060,4721929,47806,103882438,1051732,2285413636,47
23,2184,1070,4769856,50232,109706688,1155336,2523253824,48
23,2186,1080,4778596,50278,109907708,1156394,2527877284,48
23,2203,1090,4853209,50669,111623807,1165387,2567347561,48
24,2235,1100,4995225,53640,119885400,1287360,2877249600,49
24,2269,1110,5148361,54456,123560664,1306944,2965455936,49
24,2305,1120,5313025,55320,127512600,1327680,3060302400,49
24,2316,1130,5363856,55584,128732544,1334016,3089581056,49
24,2339,1140,5470921,56136,131302104,1347264,3151250496,49
24,2380,1150,5664400,57120,135945600,1370880,3262694400,49
25,2389,1160,5707321,59725,142683025,1493125,3567075625,50
25,2413,1170,5822569,60325,145564225,1508125,3639105625,50
25,2421,1180,5861241,60525,146531025,1513125,3663275625,50
26,2463,1190,6066369,64038,157725594,1664988,4100865444,51
25,2415,1200,5832225,60375,145805625,1509375,3645140625,50
24,2411,1210,5812921,57864,139510104,1388736,3348242496,49
24,2381,1220,5669161,57144,136059864,1371456,3265436736,49
23,2359,1230,5564881,54257,127992263,1247911,2943822049,48
22,2344,1240,5494336,51568,120875392,1134496,2659258624,47
21,2325,1250,5405625,48825,113518125,1025325,2383880625,46
20,2289,1260,5239521,45780,104790420,915600,2095808400,45
19,2244,1270,5035536,42636,95675184,810084,1817828496,44
18,2202,1280,4848804,39636,87278472,713448,1571012496,43
17,2163,1290,4678569,36771,79535673,625107,1352106441,42
16,2124,1300,4511376,33984,72182016,543744,1154912256,41
16,2104,1310,4426816,33664,70829056,538624,1133264896,41
16,2079,1320,4322241,33264,69155856,532224,1106493696,41
15,2078,1330,4318084,31170,64771260,467550,971568900,40
14,2060,1340,4243600,28840,59410400,403760,831745600,39
15,2109,1350,4447881,31635,66718215,474525,1000773225,40
15,2156,1360,4648336,32340,69725040,485100,1045875600,40
16,2194,1370,4813636,35104,77018176,561664,1232290816,41
16,2227,1380,4959529,35632,79352464,570112,1269639424,41
16,2267,1390,5139289,36272,82228624,580352,1315657984,41
17,2275,1400,5175625,38675,87985625,657475,1495755625,42
17,2307,1410,5322249,39219,90478233,666723,1538129961,42
18,2334,1420,5447556,42012,98056008,756216,1765008144,43
18,2338,1430,5466244,42084,98392392,757512,1771063056,43
19,2349,1440,5517801,44631,104838219,847989,1991926161,44
20,2358,1450,5560164,47160,111203280,943200,2224065600,45
20,2400,1460,5760000,48000,115200000,960000,2304000000,45
21,2408,1470,5798464,50568,121767744,1061928,2557122624,46
22,2409,1480,5803281,52998,127672182,1165956,2808788004,47
22,2445,1490,5978025,53790,131516550,1183380,2893364100,47
22,2470,1500,6100900,54340,134219800,1195480,2952835600,47
22,2470,1510,6100900,54340,134219800,1195480,2952835600,47
23,2497,1520,6235009,57431,143405207,1320913,3298319761,48
23,2520,1530,6350400,57960,146059200,1333080,3359361600,48
24,2537,1540,6436369,60888,154472856,1461312,3707348544,49
24,2566,1550,6584356,61584,158024544,1478016,3792589056,49
24,2574,1560,6625476,61776,159011424,1482624,3816274176,49
24,2608,1570,6801664,62592,163239936,1502208,3917758464,49
25,2625,1580,6890625,65625,172265625,1640625,4306640625,50
26,2648,1590,7011904,68848,182309504,1790048,4740047104,51
25,2606,1600,6791236,65150,169780900,1628750,4244522500,50
24,2601,1610,6765201,62424,162364824,1498176,3896755776,49
23,2595,1620,6734025,59685,154882575,1372755,3562299225,48
23,2550,1630,6502500,58650,149557500,1348950,3439822500,48
23,2537,1640,6436369,58351,148036487,1342073,3404839201,48
22,2505,1650,6275025,55110,138050550,1212420,3037112100,47
22,2461,1660,6056521,54142,133243462,1191124,2931356164,47
22,2414,1670,5827396,53108,128202712,1168376,2820459664,47
22,2394,1680,5731236,52668,126087192,1158696,2773918224,47
22,2366,1690,5597956,52052,123155032,1145144,2709410704,47
22,2365,1700,5593225,52030,123050950,1144660,2707120900,47
22,2358,1710,5560164,51876,122323608,1141272,2691119376,47
22,2349,1720,5517801,51678,121391622,1136916,2670615684,47
22,2306,1730,5317636,50732,116987992,1116104,2573735824,47
21,2275,1740,5175625,47775,108688125,1003275,2282450625,46
21,2250,1750,5062500,47250,106312500,992250,2232562500,46
21,2245,1760,5040025,47145,105840525,990045,2222651025,46
20,2242,1770,5026564,44840,100531280,896800,2010625600,45
20,2234,1780,4990756,44680,99815120,893600,1996302400,45
20,2202,1790,4848804,44040,96976080,880800,1939521600,45
19,2160,1800,4665600,41040,88646400,779760,1684281600,44
19,2118,1810,4485924,40242,85232556,764598,1619418564,44
19,2080,1820,4326400,39520,82201600,750880,1561830400,44
18,2047,1830,4190209,36846,75423762,663228,1357627716,43
18,2012,1840,4048144,36216,72866592,651888,1311598656,43
17,2006,1850,4024036,34102,68408612,579734,1162946404,42
17,1980,1860,3920400,33660,66646800,572220,1132995600,42
17,1980,1870,3920400,33660,66646800,572220,1132995600,42
16,1931,1880,3728761,30896,59660176,494336,954562816,41
15,1900,1890,3610000,28500,54150000,427500,812250000,40
14,1899,1900,3606201,26586,50486814,372204,706815396,39
15,1941,1910,3767481,29115,56512215,436725,847683225,40
16,1955,1920,3822025,31280,61152400,500480,978438400,41
17,1963,1930,3853369,33371,65507273,567307,1113623641,42
17,1970,1940,3880900,33490,65975300,569330,1121580100,42
17,1984,1950,3936256,33728,66916352,573376,1137577984,42
18,2030,1960,4120900,36540,74176200,657720,1335171600,43
19,2060,1970,4243600,39140,80628400,743660,1531939600,44
20,2082,1980,4334724,41640,86694480,832800,1733889600,45
20,2098,1990,4401604,41960,88032080,839200,1760641600,45
20,2139,2000,4575321,42780,91506420,855600,1830128400,45
21,2167,2010,4695889,45507,98613669,955647,2070887049,46
21,2201,2020,4844401,46221,101732421,970641,2136380841,46
21,2226,2030,4955076,46746,104056596,981666,2185188516,46
22,2226,2040,4955076,48972,109011672,1077384,2398256784,47
23,2244,2050,5035536,51612,115817328,1187076,2663798544,48
24,2270,2060,5152900,54480,123669600,1307520,2968070400,49
24,2278,2070,5189284,54672,124542816,1312128,2989027584,49
24,2286,2080,5225796,54864,125419104,1316736,3010058496,49
24,2315,2090,5359225,55560,128621400,1333440,3086913600,49
25,2349,2100,5517801,58725,137945025,1468125,3448625625,50
26,2392,2110,5721664,62192,148763264,1616992,3867844864,51
25,2357,2120,5555449,58925,138886225,1473125,3472155625,50
25,2335,2130,5452225,58375,136305625,1459375,3407640625,50
24,2303,2140,5303809,55272,127291416,1326528,3054993984,49
24,2300,2150,5290000,55200,126960000,1324800,3047040000,49
24,2288,2160,5234944,54912,125638656,1317888,3015327744,49
24,2266,2170,5134756,54384,123234144,1305216,2957619456,49
23,2256,2180,5089536,51888,117059328,1193424,2692364544,48
23,2238,2190,5008644,51474,115198812,1183902,2649572676,48
23,2238,2200,5008644,51474,115198812,1183902,2649572676,48
23,2237,2210,5004169,51451,115095887,1183373,2647205401,48
23,2222,2220,4937284,51106,113557532,1175438,2611823236,48
23,2206,2230,4866436,50738,111928028,1166974,2574344644,48
23,2167,2240,4695889,49841,108005447,1146343,2484125281,48
22,2152,2250,4631104,47344,101884288,1041568,2241454336,47
22,2144,2260,4596736,47168,101128192,1037696,2224820224,47
21,2137,2270,4566769,44877,95902149,942417,2013945129,46
20,2110,2280,4452100,42200,89042000,844000,1780840000,45
19,2103,2290,4422609,39957,84029571,759183,1596561849,44
18,2079,2300,4322241,37422,77800338,673596,1400406084,43
17,2032,2310,4129024,34544,70193408,587248,1193287936,42
16,2019,2320,4076361,32304,65221776,516864,1043548416,41
16,1983,2330,3932289,31728,62916624,507648,1006665984,41
16,1953,2340,3814209,31248,61027344,499968,976437504,41
15,1906,2350,3632836,28590,54492540,428850,817388100,40
14,1889,2360,3568321,26446,49956494,370244,699390916,39
14,1925,2370,3705625,26950,51878750,377300,726302500,39
14,1926,2380,3709476,26964,51932664,377496,727057296,39
14,1957,2390,3829849,27398,53617886,383572,750650404,39
15,1999,2400,3996001,29985,59940015,449775,899100225,40
